Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$15.2M,"Japan, China",Israel,248,Low,1905,Qtr 3,July,4,7,South Walterberg,1905,Function-Based Systematic Benchmark,Manned,3,Research,78,Solar Propulsion
$14.9M,"Japan, China",Japan,310,Low,1905,Qtr 3,July,14,7,North Walter,1905,User-Centric Zero Tolerance Collaboration,Unmanned,3,Research,78,Solar Propulsion
$9.0M,"Japan, China",Japan,297,Medium,1905,Qtr 2,June,22,6,Lake Debbie,1905,Multi-Lateral Responsive Open Architecture,Manned,2,Research,57,Nuclear Propulsion
$18.6M,"Japan, China",Japan,176,Medium,1905,Qtr 3,July,4,7,South Kenneth,1905,Open-Source National Implementation,Manned,3,Communication,68,Reusable Rocket
$46.3M,"Japan, China",Russia,91,High,1905,Qtr 2,June,26,6,Theresaton,1905,Distributed Value-Added Contingency,Unmanned,2,Weather,89,Ai Navigation
$16.0M,"Japan, China",Russia,296,Medium,1905,Qtr 3,July,9,7,Jimfort,1905,Organic Needs-Based Local Area Network,Unmanned,3,Research,66,Reusable Rocket
$15.8M,"Japan, China",Uae,166,High,1905,Qtr 2,June,26,6,Lake Alexandratown,1905,Re-Contextualized Content-Based Leverage,Unmanned,2,Communication,52,Reusable Rocket
$34.3M,"Japan, China",Uk,352,High,1905,Qtr 3,July,15,7,Hendrickshaven,1905,Inverse 24Hour Emulation,Unmanned,3,Spy,98,Solar Propulsion
$19.7M,"Japan, China",Uk,137,Low,1905,Qtr 2,June,29,6,Tylerberg,1905,Object-Based Responsive Firmware,Manned,2,Weather,62,Traditional Rocket
$3.7M,"Japan, China",Uk,259,Medium,1905,Qtr 3,July,10,7,Heidifurt,1905,Switchable Directional Archive,Unmanned,3,Spy,95,Ai Navigation
$44.9M,"Japan, China, France",Germany,295,Low,1905,Qtr 2,June,26,6,West Courtneyton,1905,Optimized Zero Administration Benchmark,Manned,2,Communication,65,Ai Navigation
$8.3M,"Japan, China, France",India,265,High,1905,Qtr 3,July,4,7,New Ambermouth,1905,Cross-Group Logistical Groupware,Manned,3,Spy,100,Reusable Rocket
$44.4M,"Japan, China, France",Israel,316,High,1905,Qtr 2,June,26,6,New Kevinberg,1905,Object-Based Reciprocal Data-Warehouse,Unmanned,2,Navigation,76,Traditional Rocket
$19.8M,"Japan, China, Germany",India,308,Medium,1905,Qtr 3,July,5,7,Garciachester,1905,Implemented Local Workforce,Manned,3,Communication,96,Traditional Rocket
$25.4M,"Japan, China, Germany",Russia,103,Low,1905,Qtr 2,June,30,6,Lake Melissaborough,1905,Fully-Configurable Solution-Oriented Productivity,Manned,2,Weather,58,Solar Propulsion
$5.4M,"Japan, China, Germany",Uae,63,Low,1905,Qtr 3,July,13,7,New Jason,1905,Intuitive High-Level Adapter,Unmanned,3,Communication,72,Ai Navigation
$17.1M,"Japan, China, Germany",Usa,264,Low,1905,Qtr 3,July,7,7,Jonestown,1905,Innovative Transitional Infrastructure,Manned,3,Weather,73,Ai Navigation
$23.6M,"Japan, China, Uk",China,307,Low,1905,Qtr 3,July,3,7,West Tina,1905,Diverse Contextually-Based Graphical User Interface,Unmanned,3,Research,87,Ai Navigation
$36.7M,"Japan, China, Usa",Uae,309,Medium,1905,Qtr 2,June,30,6,South Kristina,1905,Digitized Object-Oriented Neural-Net,Manned,2,Weather,74,Reusable Rocket
$7.5M,"Japan, France",China,130,High,1905,Qtr 3,July,11,7,Port Tammymouth,1905,Phased Empowering Toolset,Manned,3,Research,99,Nuclear Propulsion
$32.0M,"Japan, France",China,92,Low,1905,Qtr 3,July,6,7,Donnafurt,1905,Intuitive 3Rdgeneration Capability,Manned,3,Communication,74,Solar Propulsion
$15.6M,"Japan, France",France,151,Low,1905,Qtr 3,July,10,7,Sandershaven,1905,Object-Based Scalable Focus Group,Unmanned,3,Spy,78,Solar Propulsion
$48.0M,"Japan, France",Germany,137,Low,1905,Qtr 3,July,11,7,South Rebecca,1905,Public-Key Even-Keeled Algorithm,Manned,3,Research,96,Solar Propulsion
$3.4M,"Japan, France",Israel,183,Low,1905,Qtr 3,July,5,7,South Jason,1905,Proactive Upward-Trending Definition,Unmanned,3,Navigation,70,Traditional Rocket
$28.0M,"Japan, France",Japan,156,High,1905,Qtr 3,July,3,7,Longborough,1905,Business-Focused Fault-Tolerant Model,Manned,3,Research,74,Traditional Rocket
$12.9M,"Japan, France",Uae,294,Low,1905,Qtr 2,June,28,6,New Cassandra,1905,Virtual Demand-Driven Methodology,Unmanned,2,Communication,78,Reusable Rocket
$31.2M,"Japan, France",Uae,148,Low,1905,Qtr 3,July,12,7,West Joseberg,1905,Horizontal Asymmetric Software,Unmanned,3,Communication,72,Traditional Rocket
$11.8M,"Japan, France",Uae,36,Medium,1905,Qtr 2,June,24,6,Johnsonfort,1905,Managed Hybrid Parallelism,Manned,2,Navigation,60,Solar Propulsion
$23.9M,"Japan, France",Uae,293,Medium,1905,Qtr 3,July,16,7,New Erin,1905,Switchable Methodical Open Architecture,Unmanned,3,Navigation,80,Solar Propulsion
$22.3M,"Japan, France",Usa,75,Medium,1905,Qtr 3,July,5,7,Meganmouth,1905,Cross-Platform Tertiary Data-Warehouse,Manned,3,Research,65,Traditional Rocket
$6.1M,"Japan, France, China",Israel,72,High,1905,Qtr 3,July,9,7,Vickiville,1905,Polarized Bottom-Line Capability,Unmanned,3,Weather,82,Ai Navigation
$36.6M,"Japan, France, India",China,20,High,1905,Qtr 2,June,29,6,Allisonshire,1905,Sharable Client-Server Flexibility,Manned,2,Navigation,51,Solar Propulsion
$2.4M,"Japan, France, India",Japan,170,Medium,1905,Qtr 3,July,8,7,Michaelview,1905,Fundamental 5Thgeneration Solution,Unmanned,3,Spy,92,Traditional Rocket
$10.6M,"Japan, France, Israel",France,21,Low,1905,Qtr 2,June,30,6,New Jon,1905,Phased Analyzing Graphic Interface,Manned,2,Spy,94,Traditional Rocket
$2.4M,"Japan, France, Russia",India,161,High,1905,Qtr 3,July,1,7,East Adriennebury,1905,Re-Contextualized Asymmetric Solution,Manned,3,Spy,56,Ai Navigation
$15.8M,"Japan, France, Uae",Uae,271,High,1905,Qtr 3,July,12,7,North Amandaville,1905,Re-Engineered Impactful Software,Manned,3,Research,73,Nuclear Propulsion
$14.6M,"Japan, France, Uae",Uae,202,Low,1905,Qtr 3,July,6,7,New Devontown,1905,Grass-Roots Radical Functionalities,Manned,3,Research,53,Solar Propulsion
$32.5M,"Japan, Germany",China,244,Low,1905,Qtr 3,July,16,7,Barnettview,1905,Business-Focused Foreground Groupware,Manned,3,Research,96,Solar Propulsion
$12.7M,"Japan, Germany",China,279,Medium,1905,Qtr 2,June,30,6,Port Jessica,1905,Virtual Regional Array,Unmanned,2,Spy,94,Traditional Rocket
$36.3M,"Japan, Germany",France,36,Medium,1905,Qtr 3,July,4,7,Marcusview,1905,Function-Based Executive Capacity,Manned,3,Weather,59,Reusable Rocket
$37.6M,"Japan, Germany",India,43,Low,1905,Qtr 2,June,29,6,Port Tracyberg,1905,Visionary Uniform Data-Warehouse,Manned,2,Research,73,Traditional Rocket
$38.4M,"Japan, Germany",India,9,Low,1905,Qtr 3,July,5,7,West Shanetown,1905,Cross-Platform Secondary Leverage,Manned,3,Communication,91,Nuclear Propulsion
$7.9M,"Japan, Germany",Israel,55,High,1905,Qtr 3,July,11,7,South Jeffrey,1905,Total Disintermediate Collaboration,Unmanned,3,Research,70,Solar Propulsion
$7.1M,"Japan, Germany",Russia,227,Low,1905,Qtr 3,July,7,7,Huffport,1905,Self-Enabling Multi-Tasking Process Improvement,Unmanned,3,Communication,68,Nuclear Propulsion
$17.9M,"Japan, Germany",Russia,24,Medium,1905,Qtr 2,June,25,6,East Emily,1905,Digitized Fresh-Thinking Open Architecture,Manned,2,Spy,92,Traditional Rocket
$40.7M,"Japan, Germany",Russia,257,Medium,1905,Qtr 3,July,6,7,Mooreville,1905,Re-Engineered Bottom-Line Algorithm,Manned,3,Navigation,76,Ai Navigation
$20.9M,"Japan, Germany, China",Japan,287,High,1905,Qtr 2,June,30,6,North Shannonburgh,1905,Fundamental Encompassing Database,Unmanned,2,Communication,99,Ai Navigation
$19.6M,"Japan, Germany, China",Russia,300,High,1905,Qtr 3,July,9,7,East Kaylaville,1905,Centralized Object-Oriented Function,Unmanned,3,Communication,68,Traditional Rocket
$48.0M,"Japan, Germany, France",Usa,104,Low,1905,Qtr 3,July,10,7,Michelleview,1905,Grass-Roots 4Thgeneration Artificial Intelligence,Unmanned,3,Navigation,64,Solar Propulsion
$43.1M,"Japan, Germany, Israel",China,261,High,1905,Qtr 3,July,2,7,North Kristy,1905,Vision-Oriented Cohesive Success,Unmanned,3,Communication,86,Reusable Rocket
$16.1M,"Japan, Germany, Israel",Germany,71,Medium,1905,Qtr 3,July,9,7,South Joan,1905,Open-Architected Even-Keeled Conglomeration,Unmanned,3,Weather,63,Ai Navigation
$23.9M,"Japan, Germany, Israel",Germany,213,Medium,1905,Qtr 3,July,15,7,Smithchester,1905,Seamless Homogeneous Methodology,Unmanned,3,Research,84,Traditional Rocket
$44.6M,"Japan, Germany, Israel",India,329,Medium,1905,Qtr 3,July,15,7,Carpenterside,1905,Business-Focused Eco-Centric Groupware,Manned,3,Navigation,79,Reusable Rocket
$45.9M,"Japan, Germany, Israel",Uk,176,High,1905,Qtr 3,July,11,7,Armstrongside,1905,Monitored Composite Artificial Intelligence,Unmanned,3,Weather,91,Nuclear Propulsion
$37.1M,"Japan, Germany, Russia",Israel,324,Low,1905,Qtr 2,June,27,6,North Curtisland,1905,Proactive Discrete Architecture,Unmanned,2,Navigation,78,Traditional Rocket
$42.6M,"Japan, Germany, Uae",Germany,260,Low,1905,Qtr 3,July,12,7,Kimberlyside,1905,Reduced Grid-Enabled Forecast,Unmanned,3,Navigation,81,Ai Navigation
$31.1M,"Japan, Germany, Uae",India,207,Low,1905,Qtr 3,July,9,7,New Harry,1905,Re-Engineered Radical Policy,Unmanned,3,Communication,73,Nuclear Propulsion
$37.9M,"Japan, Germany, Uae",Israel,311,Low,1905,Qtr 3,July,2,7,New Patrickstad,1905,Persistent Content-Based Emulation,Unmanned,3,Spy,56,Ai Navigation
$21.4M,"Japan, Germany, Uk",Israel,358,Low,1905,Qtr 3,July,8,7,East Spencer,1905,Programmable Zero Administration Approach,Manned,3,Communication,91,Reusable Rocket
$19.4M,"Japan, Germany, Usa",China,135,Medium,1905,Qtr 3,July,2,7,New Michael,1905,Configurable Fresh-Thinking Archive,Manned,3,Navigation,72,Reusable Rocket
$44.7M,"Japan, Germany, Usa",India,344,Low,1905,Qtr 3,July,1,7,South James,1905,Multi-Layered Secondary Hub,Unmanned,3,Communication,80,Traditional Rocket
$18.7M,"Japan, India",Germany,198,Medium,1905,Qtr 3,July,14,7,Daystad,1905,Fundamental Multi-State Definition,Manned,3,Weather,62,Ai Navigation
$48.3M,"Japan, India",Israel,169,High,1905,Qtr 2,June,27,6,Richardsonfurt,1905,Managed Radical Info-Mediaries,Manned,2,Spy,52,Nuclear Propulsion
$17.8M,"Japan, India",Russia,8,Low,1905,Qtr 2,June,26,6,East Stevenville,1905,Face-To-Face Neutral Artificial Intelligence,Manned,2,Communication,60,Solar Propulsion
$48.2M,"Japan, India",Usa,308,Medium,1905,Qtr 3,July,14,7,Shanestad,1905,Re-Contextualized Mission-Critical Success,Manned,3,Weather,62,Reusable Rocket
$33.2M,"Japan, India, China",China,93,Medium,1905,Qtr 3,July,15,7,East Brianside,1905,Front-Line Client-Driven Internet Solution,Manned,3,Research,85,Traditional Rocket
$48.2M,"Japan, India, China",India,300,Medium,1905,Qtr 3,July,4,7,Taylorchester,1905,Self-Enabling Empowering Paradigm,Unmanned,3,Communication,95,Traditional Rocket
$33.3M,"Japan, India, China",Uae,199,Medium,1905,Qtr 3,July,4,7,East Kathleenshire,1905,Robust 3Rdgeneration Graphic Interface,Unmanned,3,Weather,88,Reusable Rocket
$7.7M,"Japan, India, France",India,29,High,1905,Qtr 2,June,27,6,Barnestown,1905,Implemented Content-Based Success,Unmanned,2,Communication,81,Solar Propulsion
$44.7M,"Japan, India, France",Uk,322,Medium,1905,Qtr 3,July,1,7,West Kara,1905,Self-Enabling Global Budgetary Management,Unmanned,3,Communication,72,Nuclear Propulsion
$45.9M,"Japan, India, France",Usa,220,High,1905,Qtr 2,June,27,6,Scottshire,1905,Compatible 24/7 Database,Unmanned,2,Research,91,Ai Navigation
$3.9M,"Japan, India, Germany",Uk,280,Low,1905,Qtr 3,July,12,7,South Cameron,1905,Object-Based Scalable Customer Loyalty,Unmanned,3,Research,93,Ai Navigation
$15.8M,"Japan, India, Israel",Germany,276,Medium,1905,Qtr 2,June,22,6,Port Ashley,1905,User-Friendly Next Generation Infrastructure,Unmanned,2,Navigation,53,Solar Propulsion
$43.6M,"Japan, India, Israel",Russia,247,Low,1905,Qtr 3,July,16,7,Jamesshire,1905,Horizontal Executive Focus Group,Manned,3,Navigation,96,Traditional Rocket
$42.6M,"Japan, India, Russia",Israel,85,Medium,1905,Qtr 3,July,15,7,West Annfurt,1905,Re-Contextualized Coherent Hardware,Manned,3,Weather,88,Ai Navigation
$47.6M,"Japan, India, Uae",Russia,27,Low,1905,Qtr 3,July,3,7,Lake Spencerport,1905,Expanded User-Facing Toolset,Manned,3,Navigation,57,Nuclear Propulsion
$48.9M,"Japan, India, Usa",Uk,6,Low,1905,Qtr 3,July,10,7,Lake Hectorchester,1905,Phased Optimizing Matrix,Unmanned,3,Navigation,90,Ai Navigation
$49.2M,"Japan, Israel",China,113,High,1905,Qtr 2,June,25,6,South Eric,1905,Reduced Dedicated Matrices,Manned,2,Weather,56,Nuclear Propulsion
$30.0M,"Japan, Israel",China,112,Medium,1905,Qtr 3,July,1,7,North Diane,1905,Configurable Bottom-Line Matrices,Unmanned,3,Spy,55,Reusable Rocket
$49.1M,"Japan, Israel",France,228,Medium,1905,Qtr 3,July,5,7,South Christopher,1905,Integrated Asymmetric Pricing Structure,Manned,3,Weather,86,Solar Propulsion
$47.6M,"Japan, Israel",Germany,321,Low,1905,Qtr 2,June,29,6,Websterhaven,1905,Re-Engineered Impactful Application,Manned,2,Research,91,Traditional Rocket
$39.6M,"Japan, Israel",India,102,Low,1905,Qtr 2,June,26,6,Swansonchester,1905,Team-Oriented Didactic Internet Solution,Unmanned,2,Communication,92,Solar Propulsion
$27.4M,"Japan, Israel",Israel,182,High,1905,Qtr 2,June,28,6,South Kristinborough,1905,Robust Scalable Initiative,Unmanned,2,Research,80,Ai Navigation
$34.5M,"Japan, Israel",Israel,239,Low,1905,Qtr 3,July,1,7,East Thomas,1905,De-Engineered Non-Volatile Algorithm,Unmanned,3,Weather,63,Ai Navigation
$48.0M,"Japan, Israel",Israel,128,Low,1905,Qtr 3,July,14,7,Ramirezhaven,1905,Customer-Focused Leadingedge Flexibility,Manned,3,Research,92,Ai Navigation
$4.3M,"Japan, Israel",Japan,221,Low,1905,Qtr 3,July,5,7,Lake Nathaniel,1905,Customer-Focused 3Rdgeneration Leverage,Manned,3,Communication,89,Nuclear Propulsion
$17.7M,"Japan, Israel",Russia,46,Low,1905,Qtr 3,July,1,7,Lyonsview,1905,Upgradable Mission-Critical System Engine,Manned,3,Spy,75,Traditional Rocket
$41.3M,"Japan, Israel",Russia,136,Medium,1905,Qtr 3,July,4,7,New Jessicamouth,1905,Reverse-Engineered Zero Tolerance Instruction Set,Manned,3,Spy,57,Solar Propulsion
$15.2M,"Japan, Israel",Uae,170,Low,1905,Qtr 3,July,12,7,Lake Kariberg,1905,Profit-Focused Directional Framework,Manned,3,Research,55,Traditional Rocket
$45.0M,"Japan, Israel, China",Russia,306,Medium,1905,Qtr 3,July,6,7,Port Zacharyberg,1905,Visionary Actuating Middleware,Manned,3,Navigation,94,Reusable Rocket
$22.0M,"Japan, Israel, China",Usa,15,Low,1905,Qtr 3,July,17,7,New Bethville,1905,Diverse Optimal Solution,Manned,3,Navigation,99,Nuclear Propulsion
$48.1M,"Japan, Israel, France",India,74,Low,1905,Qtr 2,June,30,6,Michaelburgh,1905,Profit-Focused Secondary Frame,Manned,2,Navigation,94,Reusable Rocket
$46.4M,"Japan, Israel, France",Israel,21,Medium,1905,Qtr 3,July,9,7,Port Josephborough,1905,De-Engineered Methodical Protocol,Manned,3,Research,60,Traditional Rocket
$6.2M,"Japan, Israel, France",Uae,70,Low,1905,Qtr 3,July,7,7,Castroport,1905,Polarized User-Facing Complexity,Manned,3,Spy,96,Traditional Rocket
$9.3M,"Japan, Israel, France",Uk,80,Medium,1905,Qtr 2,June,29,6,Port Cody,1905,De-Engineered System-Worthy Capability,Manned,2,Weather,93,Traditional Rocket
$16.7M,"Japan, Israel, Germany",Uk,305,High,1905,Qtr 2,June,24,6,North Ian,1905,Down-Sized Explicit Internet Solution,Unmanned,2,Research,60,Traditional Rocket
$46.9M,"Japan, Israel, Germany",Usa,307,High,1905,Qtr 3,July,15,7,East Jessica,1905,Optional Incremental Pricing Structure,Manned,3,Navigation,57,Nuclear Propulsion
$2.8M,"Japan, Israel, India",Japan,300,Low,1905,Qtr 2,June,29,6,Marymouth,1905,Function-Based Composite Synergy,Unmanned,2,Communication,62,Nuclear Propulsion
$40.6M,"Japan, Israel, India",Usa,4,High,1905,Qtr 3,July,3,7,Veronicamouth,1905,Focused Needs-Based Open Architecture,Unmanned,3,Research,66,Nuclear Propulsion
$37.8M,"Japan, Israel, Russia",China,293,Low,1905,Qtr 3,July,10,7,South Kevin,1905,Innovative Demand-Driven Parallelism,Unmanned,3,Navigation,68,Ai Navigation
$9.2M,"Japan, Israel, Uk",Japan,251,High,1905,Qtr 2,June,28,6,Markport,1905,Distributed Leadingedge Matrices,Unmanned,2,Weather,53,Traditional Rocket
$34.4M,"Japan, Israel, Usa",Israel,42,High,1905,Qtr 2,June,25,6,New Karinastad,1905,Vision-Oriented Even-Keeled Groupware,Unmanned,2,Navigation,59,Solar Propulsion
$46.5M,"Japan, Russia",China,344,High,1905,Qtr 2,June,23,6,Lake Christopherview,1905,Organized Actuating Methodology,Manned,2,Research,76,Traditional Rocket
$1.5M,"Japan, Russia",France,240,Low,1905,Qtr 3,July,2,7,West Lisa,1905,Networked Modular Policy,Manned,3,Spy,60,Solar Propulsion
$9.7M,"Japan, Russia",France,224,Medium,1905,Qtr 3,July,9,7,New Justin,1905,Programmable Analyzing Approach,Manned,3,Spy,70,Ai Navigation
$32.7M,"Japan, Russia",Japan,45,Low,1905,Qtr 3,July,3,7,Michaelstad,1905,Cloned Even-Keeled Concept,Unmanned,3,Communication,74,Nuclear Propulsion
$16.5M,"Japan, Russia",Japan,190,Medium,1905,Qtr 2,June,28,6,Brownview,1905,Organized 24/7 Methodology,Manned,2,Weather,53,Reusable Rocket
$18.1M,"Japan, Russia",Japan,194,Medium,1905,Qtr 2,June,30,6,Christophershire,1905,Managed Methodical Algorithm,Unmanned,2,Research,51,Ai Navigation
$9.7M,"Japan, Russia",Japan,137,Medium,1905,Qtr 3,July,15,7,Smithton,1905,Intuitive Exuding Process Improvement,Unmanned,3,Navigation,96,Traditional Rocket
$13.4M,"Japan, Russia",Uae,30,Low,1905,Qtr 2,June,30,6,Lake Kayla,1905,Universal Bi-Directional Workforce,Unmanned,2,Navigation,51,Solar Propulsion
$10.9M,"Japan, Russia",Uk,153,Low,1905,Qtr 3,July,13,7,Mirandaberg,1905,Vision-Oriented Scalable Flexibility,Manned,3,Navigation,71,Solar Propulsion
$10.3M,"Japan, Russia",Usa,260,High,1905,Qtr 3,July,14,7,North Courtney,1905,Progressive Coherent Matrix,Manned,3,Weather,86,Reusable Rocket
$21.2M,"Japan, Russia, France",India,220,Low,1905,Qtr 3,July,6,7,Burtonmouth,1905,Business-Focused High-Level Migration,Unmanned,3,Research,91,Ai Navigation
$14.6M,"Japan, Russia, France",India,3,Low,1905,Qtr 3,July,12,7,Bellhaven,1905,Face-To-Face Even-Keeled Matrix,Unmanned,3,Weather,83,Reusable Rocket
$25.2M,"Japan, Russia, Germany",China,161,High,1905,Qtr 3,July,4,7,New Jasonhaven,1905,Expanded Executive Middleware,Unmanned,3,Navigation,62,Solar Propulsion
$5.5M,"Japan, Russia, Germany",France,30,Medium,1905,Qtr 3,July,4,7,North Deborah,1905,Optimized Neutral Functionalities,Manned,3,Spy,51,Ai Navigation
$26.3M,"Japan, Russia, Germany",Russia,39,Medium,1905,Qtr 2,June,27,6,Martinezburgh,1905,Profound Actuating Customer Loyalty,Unmanned,2,Navigation,66,Solar Propulsion
$4.9M,"Japan, Russia, India",China,276,Medium,1905,Qtr 3,July,7,7,Greenfort,1905,Quality-Focused Real-Time Matrices,Manned,3,Communication,65,Ai Navigation
$9.3M,"Japan, Russia, India",Germany,203,High,1905,Qtr 3,July,3,7,Wilsonburgh,1905,Adaptive Coherent Definition,Manned,3,Spy,81,Solar Propulsion
$11.0M,"Japan, Russia, Uae",France,4,Medium,1905,Qtr 3,July,13,7,New Timothyberg,1905,Innovative Global Frame,Unmanned,3,Spy,94,Solar Propulsion
$18.7M,"Japan, Russia, Uae",Russia,261,Low,1905,Qtr 3,July,6,7,South Jasonburgh,1905,Profound Attitude-Oriented Adapter,Unmanned,3,Navigation,77,Solar Propulsion
$26.3M,"Japan, Russia, Uk",Germany,111,High,1905,Qtr 3,July,15,7,Bradleyborough,1905,Sharable Discrete Alliance,Manned,3,Navigation,93,Nuclear Propulsion
$48.0M,"Japan, Russia, Uk",Japan,291,Low,1905,Qtr 3,July,10,7,Williamstad,1905,Fundamental Dedicated Workforce,Manned,3,Spy,95,Traditional Rocket
$14.9M,"Japan, Russia, Uk",Russia,46,High,1905,Qtr 2,June,24,6,South Kyle,1905,Total Regional Project,Unmanned,2,Research,50,Ai Navigation
$35.9M,"Japan, Russia, Uk",Usa,362,Medium,1905,Qtr 3,July,15,7,New Tonyafurt,1905,Virtual Bandwidth-Monitored Standardization,Manned,3,Spy,99,Nuclear Propulsion
$26.1M,"Japan, Russia, Usa",Israel,104,High,1905,Qtr 3,July,4,7,Foxbury,1905,Persistent Upward-Trending Info-Mediaries,Manned,3,Spy,65,Solar Propulsion
$34.1M,"Japan, Uae",China,147,High,1905,Qtr 3,July,3,7,Lake Ryanberg,1905,Function-Based Bandwidth-Monitored System Engine,Manned,3,Research,79,Traditional Rocket
$27.0M,"Japan, Uae",China,250,High,1905,Qtr 3,July,16,7,Wilsonbury,1905,Distributed Well-Modulated Benchmark,Unmanned,3,Weather,96,Reusable Rocket
$24.1M,"Japan, Uae",China,155,Low,1905,Qtr 3,July,3,7,Moralesbury,1905,Triple-Buffered Local Middleware,Unmanned,3,Weather,80,Traditional Rocket
$30.5M,"Japan, Uae",France,34,High,1905,Qtr 3,July,11,7,Torresstad,1905,Fully-Configurable Radical Utilization,Manned,3,Navigation,84,Solar Propulsion
$49.9M,"Japan, Uae",France,352,Low,1905,Qtr 3,July,2,7,Port Patriciaborough,1905,Quality-Focused Explicit Data-Warehouse,Unmanned,3,Research,92,Reusable Rocket
$24.6M,"Japan, Uae",India,286,High,1905,Qtr 2,June,28,6,Rachelborough,1905,Cross-Group Local Software,Unmanned,2,Navigation,57,Nuclear Propulsion
$21.3M,"Japan, Uae",India,27,Medium,1905,Qtr 3,July,17,7,New Sarah,1905,Multi-Lateral Executive Firmware,Manned,3,Research,97,Nuclear Propulsion
$13.6M,"Japan, Uae",Israel,252,High,1905,Qtr 3,July,8,7,New Curtisbury,1905,Organic 24/7 Superstructure,Manned,3,Weather,65,Solar Propulsion
$12.8M,"Japan, Uae",Japan,61,Low,1905,Qtr 3,July,15,7,East Stevenborough,1905,Focused Didactic Superstructure,Manned,3,Research,69,Traditional Rocket
$7.6M,"Japan, Uae",Japan,301,Medium,1905,Qtr 3,July,4,7,Michaelshire,1905,Automated Foreground Moratorium,Unmanned,3,Research,69,Ai Navigation
$3.6M,"Japan, Uae",Russia,164,High,1905,Qtr 2,June,25,6,East Isaacshire,1905,Quality-Focused Systemic Contingency,Manned,2,Navigation,63,Reusable Rocket
$9.5M,"Japan, Uae",Russia,322,Medium,1905,Qtr 3,July,2,7,Crawfordland,1905,Ameliorated Object-Oriented Approach,Unmanned,3,Spy,65,Nuclear Propulsion
$42.6M,"Japan, Uae",Russia,69,Medium,1905,Qtr 3,July,12,7,Port Williamshire,1905,Business-Focused Systemic Productivity,Unmanned,3,Communication,51,Ai Navigation
$10.9M,"Japan, Uae",Uae,54,Low,1905,Qtr 3,July,12,7,East Jessicashire,1905,Intuitive Even-Keeled Project,Unmanned,3,Research,78,Solar Propulsion
$20.8M,"Japan, Uae",Usa,118,High,1905,Qtr 3,July,11,7,South Amandahaven,1905,Diverse Encompassing Time-Frame,Manned,3,Spy,95,Traditional Rocket
$48.1M,"Japan, Uae",Usa,206,Low,1905,Qtr 3,July,14,7,Scottfort,1905,Business-Focused Impactful Strategy,Manned,3,Spy,70,Nuclear Propulsion
$25.9M,"Japan, Uae, China",India,27,Low,1905,Qtr 3,July,5,7,Jenniferview,1905,Enterprise-Wide Multi-Tasking Process Improvement,Manned,3,Spy,56,Ai Navigation
$3.2M,"Japan, Uae, France",China,361,High,1905,Qtr 3,July,15,7,Payneside,1905,Horizontal Static Approach,Unmanned,3,Navigation,77,Traditional Rocket
$11.4M,"Japan, Uae, France",India,153,Low,1905,Qtr 3,July,14,7,East John,1905,Face-To-Face 24Hour Open System,Unmanned,3,Navigation,95,Nuclear Propulsion
$16.1M,"Japan, Uae, France",Uae,210,Medium,1905,Qtr 3,July,2,7,Erictown,1905,Down-Sized Zero-Defect Open System,Manned,3,Spy,100,Solar Propulsion
$49.2M,"Japan, Uae, Russia",India,311,High,1905,Qtr 3,July,16,7,South Richard,1905,Multi-Lateral Bifurcated Complexity,Unmanned,3,Navigation,75,Traditional Rocket
$34.8M,"Japan, Uae, Uk",France,39,Low,1905,Qtr 2,June,27,6,Martinhaven,1905,Grass-Roots Empowering Local Area Network,Manned,2,Navigation,97,Solar Propulsion
$29.3M,"Japan, Uae, Uk",India,191,High,1905,Qtr 3,July,5,7,North James,1905,Switchable Scalable Ability,Manned,3,Spy,88,Ai Navigation
$12.5M,"Japan, Uk",China,244,High,1905,Qtr 3,July,1,7,New Randy,1905,Automated Non-Volatile Local Area Network,Manned,3,Spy,88,Solar Propulsion
$18.9M,"Japan, Uk",China,83,High,1905,Qtr 3,July,9,7,Port Jeremy,1905,Business-Focused Local Website,Manned,3,Research,90,Solar Propulsion
$2.2M,"Japan, Uk",France,198,High,1905,Qtr 2,June,25,6,Calebville,1905,Multi-Tiered Bifurcated Solution,Manned,2,Weather,94,Reusable Rocket
$49.9M,"Japan, Uk",Germany,327,Low,1905,Qtr 2,June,25,6,Kellyberg,1905,Implemented Grid-Enabled Model,Unmanned,2,Navigation,69,Reusable Rocket
$5.3M,"Japan, Uk",Germany,24,Low,1905,Qtr 3,July,3,7,Steelemouth,1905,User-Friendly National Customer Loyalty,Unmanned,3,Weather,68,Reusable Rocket
$8.0M,"Japan, Uk",Germany,64,Medium,1905,Qtr 3,July,10,7,Gordonstad,1905,Object-Based Multimedia Orchestration,Unmanned,3,Navigation,68,Nuclear Propulsion
$32.1M,"Japan, Uk",India,342,Medium,1905,Qtr 3,July,12,7,South Dennismouth,1905,Optional Holistic Productivity,Manned,3,Navigation,98,Solar Propulsion
$35.8M,"Japan, Uk",Israel,9,Low,1905,Qtr 3,July,16,7,Cummingshaven,1905,Cross-Platform Global Contingency,Unmanned,3,Communication,95,Traditional Rocket
